GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "25001","Barnstable, MA",1,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",6562371,6781601,6857435,7266884,7303902,7103234,7369943,8011965,7744408,8024335,8287912,8362402,8621073,9051945,9373122,9592025,9715922,10162963,10804612,10162847
 "25003","Berkshire, MA",1,CAGDP2,1,"...","All industry total","Thousands of dollars",4398912,4607105,4586044,4850288,5140182,5266558,5453507,5749979,5761800,5921687,6098818,6541360,6703091,6889028,7130907,7226352,7133354,7411883,7418395,7099411
 "25003","Berkshire, MA",1,CAGDP2,2,"..."," Private industries","Thousands of dollars",3915111,4113329,4077306,4332777,4600005,4703500,4847111,5108309,5092542,5238874,5389433,5862131,5987685,6153827,6379259,6485259,6373266,6607017,6608585,6300202
 "25003","Berkshire, MA",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",12159,10505,10314,16510,7674,16379,40505,4322,5618,4482,9755,24478,33480,(D),(D),(D),(D),(D),(D),(D)
 "25003","Berkshire, MA",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",7565,6553,8415,10822,7664,9983,15579,10028,16140,21944,24154,9254,8987,10529,13066,15225,11844,11730,13798,14200
 "25003","Berkshire, MA",1,CAGDP2,10,"22","  Utilities","Thousands of dollars",117641,82361,75538,41779,25024,23501,26129,33791,30564,40864,53899,68488,73352,66904,79453,78229,82646,67678,73227,83730
 "25003","Berkshire, MA",1,CAGDP2,11,"23","  Construction","Thousands of dollars",220192,230492,221525,248182,272322,315133,303645,285831,280332,279982,265312,272335,276018,302122,(D),343250,(D),(D),356259,356768
 "25003","Berkshire, MA",1,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",739009,743695,620039,606544,623765,742828,710527,776719,816875,825595,913837,1271114,1345625,1504920,1386634,1290857,1051363,1104208,1018709,959409
 "25003","Berkshire, MA",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",298303,248312,(D),176439,171583,(D),(D),(D),(D),185887,189422,195373,202285,202497,240960,312169,314267,281277,315965,278702
 "25003","Berkshire, MA",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",440706,495383,(D),430105,452182,(D),(D),(D),(D),639708,724415,1075741,1143340,1302423,1145674,978688,737096,822931,702744,680707
 "25003","Berkshire, MA",1,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",131779,130716,123717,121431,120231,130290,124538,129322,118019,136008,138310,133412,129930,124847,125299,124745,129557,135654,147466,140409
 "25003","Berkshire, MA",1,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",315332,333015,364533,397870,407845,407232,403002,396314,401290,403821,401752,406213,420187,416720,426441,426320,422265,411351,432118,437805
 "25003","Berkshire, MA",1,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",52394,51358,54042,57292,55884,58015,54244,55233,51683,53804,56480,59308,60633,(D),(D),(D),(D),(D),(D),(D)
 "25003","Berkshire, MA",1,CAGDP2,45,"51","  Information","Thousands of dollars",98072,111497,101004,116564,129154,126516,126037,152160,159260,166104,153541,115506,111963,110240,102578,103848,113949,132368,169031,175622
 "25003","Berkshire, MA",1,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",802168,862998,895108,999936,1118884,1018929,1088765,1210300,1137391,1181050,1203102,1255819,1234563,1210069,1384048,1483313,1462023,1588247,1535650,1549039
 "25003","Berkshire, MA",1,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",221142,226919,239755,246530,272441,290457,258655,251656,244499,248093,285786,302478,281499,308926,394233,408894,394390,445892,442653,481668
 "25003","Berkshire, MA",1,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",581026,636079,655353,753406,846444,728473,830110,958644,892892,932958,917317,953341,953065,901143,989815,1074419,1067633,1142355,1092997,1067372
 "25003","Berkshire, MA",1,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",420758,475807,488357,550422,588632,566576,612388,608211,600898,616985,642378,648771,655117,653992,691229,711079,766390,799021,793398,778745
 "25003","Berkshire, MA",1,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",193081,194676,250870,268347,286415,321045,340083,347744,343554,354403,360146,364096,358913,367734,383110,403862,437683,475904,470541,466521
 "25003","Berkshire, MA",1,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",151849,189578,138686,175881,184602,125286,142477,120133,119329,115311,130951,137313,145702,133865,146018,145123,153555,148118,138941,136300
 "25003","Berkshire, MA",1,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",75828,91552,98801,106194,117614,120246,129828,140334,138015,147272,151281,147362,150502,152393,162102,162093,175153,174999,183916,175925
 "25003","Berkshire, MA",1,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",589699,631884,672729,708216,759734,798697,848412,935899,960095,988757,1003780,1060429,1065835,1087151,1133045,1186538,1212032,1250178,1284762,1222206
 "25003","Berkshire, MA",1,CAGDP2,69,"61","   Educational services","Thousands of dollars",143745,149970,163368,181698,183369,187527,200923,224379,236397,244235,249051,273759,276273,283788,289920,301014,302632,313134,321194,298529
 "25003","Berkshire, MA",1,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",445954,481913,509361,526517,576365,611170,647490,711520,723698,744522,754729,786670,789562,803363,843126,885524,909400,937044,963567,923677
 "25003","Berkshire, MA",1,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",282193,302856,304299,314708,332939,335643,340308,355528,361200,368358,376076,388641,423973,431204,463201,468865,482524,487045,512515,347486
 "25003","Berkshire, MA",1,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",59865,64367,62972,67330,75774,82838,80111,90293,100486,111566,115127,113781,129049,130264,132425,134735,148928,153826,154057,98622
 "25003","Berkshire, MA",1,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",222327,238489,241327,247378,257165,252805,260197,265235,260715,256791,260949,274860,294924,300940,330775,334129,333596,333218,358458,248864
 "25003","Berkshire, MA",1,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",126150,139593,137687,142501,150254,153778,153033,154651,153177,151120,147056,148363,148023,157872,166373,171341,173779,181105,187659,165818
 "25003","Berkshire, MA",1,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",483801,493777,508738,517511,540177,563058,606396,641670,669259,682812,709386,679229,715406,735200,751647,741094,760088,804866,809811,799209
 "25003","Berkshire, MA",1,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",19723,17057,18729,27332,15338,26361,56083,14350,21757,26426,33909,33732,42467,(D),(D),(D),(D),(D),(D),(D)
 "25003","Berkshire, MA",1,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",447111,463731,488250,519301,528076,537522,527539,525636,519309,539829,540062,539625,550116,541566,551740,551065,551822,547005,579584,578214
 "25003","Berkshire, MA",1,CAGDP2,89,"22, 48-49","Transportation and utilities","Thousands of dollars",170035,133719,129579,99071,80908,81516,80373,89024,82247,94668,110379,127796,133985,(D),(D),(D),(D),(D),(D),(D)
 "25003","Berkshire, MA",1,CAGDP2,90,"31-33, 51","Manufacturing and information","Thousands of dollars",837081,855192,721043,723108,752919,869344,836564,928880,976135,991699,1067377,1386620,1457588,1615160,1489212,1394705,1165312,1236576,1187739,1135031
 "25003","Berkshire, MA",1,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",978925,991244,860293,882058,911425,1084322,1070255,1076901,1118964,1132003,1213058,1577181,1664110,(D),(D),(D),(D),(D),(D),(D)
 "25003","Berkshire, MA",1,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",2936186,3122085,3217013,3450719,3688580,3619177,3776856,4031408,3973577,4106871,4176374,4284950,4323575,(D),(D),(D),(D),(D),(D),(D)
 "25005","Bristol, MA",1,CAGDP2,1,"...","All industry total","Thousands of dollars",15981214,16461714,16882584,17271342,17773188,18887266,19294858,20430671,19933426,20623897,21127554,21484891,22226944,23198159,24865768,25122856,25855923,26661123,27970956,27293361
 "25005","Bristol, MA",1,CAGDP2,2,"..."," Private industries","Thousands of dollars",14048601,14419575,14821820,15178274,15572731,16562685,16801784,17797126,17290576,17987543,18317248,18774252,19344297,20230383,21796711,22098492,22705086,23362447,24593117,23966915
 "25005","Bristol, MA",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),328266,(D),(D),322034,311112,(D),354582,(D),(D)
 "25005","Bristol, MA",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",8432,7247,6258,7392,7074,7980,13114,8003,8718,2669,2987,3227,3963,2776,2467,3056,2831,3500,4458,4855
